SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
COMSYN, EQ, 02-Dec-2024,71.43,73.0,74.49,71.1,71.25,71.48,72.44,67714,49.05,900, 21006, 31.02,0.07
COMSYN, EQ, 03-Apr-2024,69.8,70.15,71.45,67.25, 70.50,70.25,70.32,7147,5.03,181, 3086, 43.18,0.64
COMSYN, EQ, 03-May-2024,75.5,75.05,75.95,73.0, 73.00,73.35,73.79,10163,7.5,181, 8113, 79.83,-2.85
COMSYN, EQ, 03-Jun-2024,68.0,66.55,69.25,65.05,66.0,66.05,66.53,13845,9.21,223, 9586, 69.24,-2.87
COMSYN, EQ, 03-Jul-2024,80.9,82.4,82.48,78.2,79.64,79.14,80.02,106462,85.2,2047, 56260, 52.85,-2.18
COMSYN, EQ, 03-Sep-2024,68.88,69.0,69.98,66.15,66.77,66.49,67.63,50565,34.2,901, 17729, 35.06,-3.47
COMSYN, EQ, 03-Oct-2024,65.72,66.92,66.92,58.11,61.5,61.16,60.59,748612,453.56,2850, 464479, 62.05,-6.94
COMSYN, EQ, 03-Dec-2024,71.48,72.64,72.84,71.12,71.99,71.42,72.12,42136,30.39,432, 5333, 12.66,-0.08
COMSYN, EQ, 04-Mar-2024,81.0,80.95,81.0,79.0, 79.80,79.05,79.47,3875,3.08,108, 3312, 85.47,-2.41
COMSYN, EQ, 04-Apr-2024,70.25,70.8,73.0,68.45, 69.70,69.45,70.32,11521,8.1,250, 7730, 67.09,-1.14
COMSYN, EQ, 04-Jun-2024,66.05,67.0,68.95,58.0,60.55,61.55,62.81,13282,8.34,315, 9092, 68.45,-6.81
COMSYN, EQ, 04-Jul-2024,79.14,80.35,81.18,78.88,79.5,79.38,79.91,74117,59.23,963, 45137, 60.90,0.3
COMSYN, EQ, 04-Sep-2024,66.49,65.7,67.69,65.7,66.06,66.17,66.6,50926,33.92,624, 13107, 25.74,-0.48
COMSYN, EQ, 04-Oct-2024,61.16,62.28,63.9,59.76,59.9,60.51,61.03,173197,105.7,1004, 45524, 26.28,-1.06
COMSYN, EQ, 04-Nov-2024,68.31,67.3,68.0,65.0,65.5,66.0,65.82,68805,45.29,1090, 22350, 32.48,-3.38
COMSYN, EQ, 04-Dec-2024,71.42,72.99,72.99,70.15,70.76,70.39,71.28,49758,35.47,750, 11084, 22.28,-1.44
COMSYN, EQ, 05-Feb-2024,96.5,97.15,97.15,90.0, 90.50,91.45,93.82,33416,31.35,518, 26350, 78.85,-5.23
COMSYN, EQ, 05-Mar-2024,79.05,80.0,80.65,77.1, 77.45,77.9,78.38,8528,6.68,159, 6125, 71.82,-1.45
COMSYN, EQ, 05-Apr-2024,69.45,70.85,70.9,68.75, 69.40,69.65,69.81,6146,4.29,102, 5109, 83.13,0.29
COMSYN, EQ, 05-Jun-2024,61.55,60.55,63.5,59.15,63.4,63.15,61.91,8717,5.4,129, 5846, 67.06,2.6
COMSYN, EQ, 05-Jul-2024,79.38,79.0,79.09,76.64,77.38,77.57,77.6,65599,50.9,1335, 25045, 38.18,-2.28
COMSYN, EQ, 05-Aug-2024,72.87,71.41,71.44,64.61,65.06,65.43,67.75,153063,103.69,2324, 81457, 53.22,-10.21
COMSYN, EQ, 05-Sep-2024,66.17,66.89,67.88,66.62,67.07,67.18,67.24,39346,26.46,367, 10654, 27.08,1.53
COMSYN, EQ, 05-Nov-2024,66.0,66.08,67.97,64.19,66.95,66.94,65.63,93457,61.34,1875, 24389, 26.10,1.42
COMSYN, EQ, 05-Dec-2024,70.39,70.32,71.0,69.15,69.5,69.33,70.04,48060,33.66,629, 12537, 26.09,-1.51
COMSYN, EQ, 06-Feb-2024,91.45,91.45,95.0,84.0, 94.00,94.4,89.69,53450,47.94,1002, 27065, 50.64,3.23
COMSYN, EQ, 06-Mar-2024,77.9,78.0,78.0,72.65, 75.05,75.85,75.43,11897,8.97,389, 7434, 62.49,-2.63
COMSYN, EQ, 06-May-2024,73.35,76.0,76.0,70.5,72.45,72.2,72.09,7885,5.68,151, 5956, 75.54,-1.57
COMSYN, EQ, 06-Jun-2024,63.15,64.25,69.4,63.75,66.0,66.25,66.82,10787,7.21,449, 5435, 50.38,4.91
COMSYN, EQ, 06-Aug-2024,65.43,65.78,67.87,65.05,65.17,66.12,66.22,58185,38.53,841, 17455, 30.00,1.05
COMSYN, EQ, 06-Sep-2024,67.18,69.3,74.39,67.12,69.0,69.49,71.22,512306,364.87,3727, 407232, 79.49,3.44
COMSYN, EQ, 06-Nov-2024,66.94,68.25,68.25,66.21,67.33,66.98,66.93,42160,28.22,706, 7431, 17.63,0.06
COMSYN, EQ, 06-Dec-2024,69.33,69.5,72.0,68.15,71.8,71.39,70.06,63712,44.64,814, 21320, 33.46,2.97
COMSYN, EQ, 07-Feb-2024,94.4,96.0,96.0,88.55, 90.50,90.15,91.04,33206,30.23,703, 20414, 61.48,-4.5
COMSYN, EQ, 07-Mar-2024,75.85,77.55,78.8,77.0, 77.00,77.3,77.53,5178,4.01,126, 3410, 65.86,1.91
COMSYN, EQ, 07-May-2024,72.2,73.2,73.2,70.05,72.0,71.5,71.2,7069,5.03,130, 5481, 77.54,-0.97
COMSYN, EQ, 07-Jun-2024,66.25,66.25,68.7,64.45,66.5,66.85,66.98,15954,10.69,179, 11510, 72.14,0.91
COMSYN, EQ, 07-Aug-2024,66.12,67.0,68.02,65.18,66.74,66.15,66.04,78824,52.06,1189, 18936, 24.02,0.05
COMSYN, EQ, 07-Oct-2024,60.51,61.65,61.65,52.98,58.0,55.08,57.31,183967,105.44,2672, 73071, 39.72,-8.97
COMSYN, EQ, 07-Nov-2024,66.98,68.0,68.0,65.83,66.6,66.05,66.45,42633,28.33,792, 7327, 17.19,-1.39
COMSYN, EQ, 08-Feb-2024,90.15,91.5,92.35,90.1, 91.45,91.2,90.83,22705,20.62,235, 18919, 83.33,1.16
COMSYN, EQ, 08-Apr-2024,69.65,71.95,71.95,70.1, 70.45,70.75,71.18,4064,2.89,73, 3772, 92.81,1.58
COMSYN, EQ, 08-May-2024,71.5,72.3,73.7,70.25,72.6,71.85,71.78,3814,2.74,191, 2173, 56.97,0.49
COMSYN, EQ, 08-Jul-2024,77.57,77.38,80.79,76.0,76.72,77.03,78.55,78876,61.95,1234, 40483, 51.32,-0.7
COMSYN, EQ, 08-Aug-2024,66.15,67.79,67.96,65.02,66.43,65.65,66.58,44926,29.91,502, 6893, 15.34,-0.76
COMSYN, EQ, 08-Oct-2024,55.08,56.14,59.88,56.14,59.0,58.7,58.33,425379,248.11,2326, 44084, 10.36,6.57
COMSYN, EQ, 08-Nov-2024,66.05,67.35,69.5,65.9, 67.00,68.04,67.41,170340,114.83,2512, 72345, 42.47,3.01
COMSYN, EQ, 09-Feb-2024,91.2,92.55,92.55,85.5, 89.00,88.75,88.19,28083,24.77,425, 18447, 65.69,-2.69
COMSYN, EQ, 09-Apr-2024,70.75,72.4,72.4,69.1, 70.05,69.65,70.36,3690,2.6,105, 2972, 80.54,-1.55
COMSYN, EQ, 09-May-2024,71.85,71.2,71.2,67.1,70.45,69.4,69.71,8484,5.91,196, 7188, 84.72,-3.41
